family,train_id,gap_train,dr,eval_id,eval_order,mean_step_reward,mean_episode_length,horizon_survival,non_timeout_terminations,error_vel_xy,error_vel_yaw,action_abs_mean,metrics_path
payload,G0_D0,G0,D0,M0,0,0.06099063177506385,2400.0,1.0,0,0.07883153855800629,0.03349466249346733,0.3826723967740933,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G0_D0/M0/metrics.json
payload,G0_D0,G0,D0,M5,1,0.06035165248089181,2400.0,1.0,0,0.08725007623434067,0.05878644809126854,0.4191768665984273,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G0_D0/M5/metrics.json
payload,G0_D0,G0,D0,M7p5,2,0.059169522884594816,2400.0,1.0,0,0.10036743432283401,0.08319752663373947,0.46010855191697675,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G0_D0/M7p5/metrics.json
payload,G0_D0,G0,D0,M10,3,0.05519791754512511,959.4285714285714,0.39976190476190476,203,0.12120795249938965,0.11800409853458405,0.5050763597091039,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G0_D0/M10/metrics.json
payload,G0_D1,G0,D1,M0,0,0.06098238934350718,2400.0,1.0,0,0.06783980131149292,0.03490310162305832,0.37665396818270286,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G0_D1/M0/metrics.json
payload,G0_D1,G0,D1,M5,1,0.06007055693312718,2400.0,1.0,0,0.08273696899414062,0.06827148050069809,0.41633367360879975,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G0_D1/M5/metrics.json
payload,G0_D1,G0,D1,M7p5,2,0.057193811688006996,953.3892215568862,0.3972455089820359,167,0.10406623035669327,0.09785959124565125,0.4590903236468633,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G0_D1/M7p5/metrics.json
payload,G0_D1,G0,D1,M10,3,0.049659037924230535,445.7684630738523,0.1857368596141051,1002,0.1290004700422287,0.13855689764022827,0.4906032530342539,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G0_D1/M10/metrics.json
payload,G0_D2,G0,D2,M0,0,0.060779960947913644,2400.0,1.0,0,0.07470981776714325,0.0436435304582119,0.37353121957431235,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G0_D2/M0/metrics.json
payload,G0_D2,G0,D2,M5,1,0.059833799585744224,2400.0,1.0,0,0.09516917914152145,0.07728904485702515,0.4072298956414064,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G0_D2/M5/metrics.json
payload,G0_D2,G0,D2,M7p5,2,0.058421395079573606,1553.25,0.6471875,4,0.11584673821926117,0.09997710585594177,0.43586620774120094,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G0_D2/M7p5/metrics.json
payload,G0_D2,G0,D2,M10,3,0.054892203139414925,910.2886178861788,0.3792869241192412,246,0.13702704012393951,0.12783320248126984,0.46348196911315126,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G0_D2/M10/metrics.json
payload,G1_D0,G1,D0,M0,0,0.06008057692149881,2400.0,1.0,0,0.0731733962893486,0.0516585148870945,0.4483464185024301,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G1_D0/M0/metrics.json
payload,G1_D0,G1,D0,M5,1,0.06044167975281766,2400.0,1.0,0,0.0785810649394989,0.0420873761177063,0.4664126209417979,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G1_D0/M5/metrics.json
payload,G1_D0,G1,D0,M7p5,2,0.06030029671868116,2400.0,1.0,0,0.08503889292478561,0.041931699961423874,0.48371384654194116,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G1_D0/M7p5/metrics.json
payload,G1_D0,G1,D0,M10,3,0.06001427202077603,2400.0,1.0,0,0.09235844761133194,0.04486244171857834,0.5034580871959528,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G1_D0/M10/metrics.json
payload,G1_D1,G1,D1,M0,0,0.05997307008710981,2400.0,1.0,0,0.06597970426082611,0.05872737988829613,0.43812968442837397,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G1_D1/M0/metrics.json
payload,G1_D1,G1,D1,M5,1,0.0604167801537209,2400.0,1.0,0,0.07646578550338745,0.045368023216724396,0.459260870863994,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G1_D1/M5/metrics.json
payload,G1_D1,G1,D1,M7p5,2,0.06028978781150841,2400.0,1.0,0,0.08459850400686264,0.043681979179382324,0.47652514682461816,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G1_D1/M7p5/metrics.json
payload,G1_D1,G1,D1,M10,3,0.05999839498434542,2400.0,1.0,0,0.0930483341217041,0.045375920832157135,0.4960130689914028,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G1_D1/M10/metrics.json
payload,G1_D2,G1,D2,M0,0,0.059399622935141755,2400.0,1.0,0,0.07088723033666611,0.08355545997619629,0.44812196816007294,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G1_D2/M0/metrics.json
