family,train_id,gap_train,dr,nominal_reward,nominal_episode_length,hardest_reward,hardest_episode_length,hardest_horizon_survival,hardest_terminations,hardest_error_vel_xy,hardest_error_vel_yaw,mean_reward,mean_episode_length,mean_horizon_survival,mean_error_vel_xy,mean_error_vel_yaw,robust_rank
payload,G1_D0,G1,D0,0.06008057692149881,2400.0,0.06001427202077603,2400.0,1.0,0,0.09235844761133194,0.04486244171857834,0.060209206353443415,2400.0,1.0,0.08228795044124126,0.04513500817120075,1
payload,G1_D1,G1,D1,0.05997307008710981,2400.0,0.05999839498434542,2400.0,1.0,0,0.0930483341217041,0.045375920832157135,0.06016950825917113,2400.0,1.0,0.08002308197319508,0.048288325779139996,2
payload,G1_D2,G1,D2,0.059399622935141755,2400.0,0.05953271861543574,2400.0,1.0,0,0.0996193215250969,0.059117622673511505,0.059668384053284264,2400.0,1.0,0.08568565919995308,0.06560199987143278,3
payload,G0_D0,G0,D0,0.06099063177506385,2400.0,0.05519791754512511,959.4285714285714,0.39976190476190476,203,0.12120795249938965,0.11800409853458405,0.058927431171418895,2039.857142857143,0.8499404761904762,0.09691425040364265,0.07337068393826485,4
payload,G0_D2,G0,D2,0.060779960947913644,2400.0,0.054892203139414925,910.2886178861788,0.3792869241192412,246,0.13702704012393951,0.12783320248126984,0.0584818396881616,1815.8846544715448,0.7566186060298103,0.10568819381296635,0.08718572091311216,5
payload,G0_D1,G0,D1,0.06098238934350718,2400.0,0.049659037924230535,445.7684630738523,0.1857368596141051,1002,0.1290004700422287,0.13855689764022827,0.05697644897221797,1549.7894211576847,0.6457455921490353,0.09591086767613888,0.08489776775240898,6
rr_calf,G1_D0,G1,D0,0.06088794116649273,2400.0,0.06081224966961311,2400.0,1.0,0,0.06548362970352173,0.04199718311429024,0.06090737573640458,2400.0,1.0,0.06341202184557915,0.04150640591979027,1
rr_calf,G1_D1,G1,D1,0.06090367300538475,2400.0,0.060789322611740366,2400.0,1.0,0,0.0701499730348587,0.03798013553023338,0.060910592808852075,2400.0,1.0,0.06632838646570842,0.03598946457107862,2
rr_calf,G1_D2,G1,D2,0.06070056856846956,2400.0,0.06066158317232521,2400.0,1.0,0,0.07574809342622757,0.044427886605262756,0.060740698598759635,2400.0,1.0,0.073580468694369,0.04309407497445742,3
rr_calf,G0_D0,G0,D0,0.06099111350824581,2400.0,0.060284658413287055,2400.0,1.0,0,0.08656703680753708,0.03951296955347061,0.06076557584203258,2400.0,1.0,0.08101986348628998,0.03555470208326975,4
rr_calf,G0_D2,G0,D2,0.06078030635804187,2400.0,0.05994590422498694,2400.0,1.0,0,0.08897925168275833,0.052367378026247025,0.06049838086002233,2400.0,1.0,0.07997067272663116,0.046339562783638634,5
rr_calf,G0_D1,G0,D1,0.06098381547566438,2400.0,0.05970498530923787,1263.5,0.5264583333333334,8,0.08301835507154465,0.06242455169558525,0.06054489549357212,2021.1666666666667,0.8421527777777778,0.07338592658440272,0.04547537366549174,6
