rank,job,expert_dr,dataset_dr,interface_noise,robust_score,dr_mean_survival,dr_worst_survival,dr_mean_return,dr_mean_tracking_error,V0_return,V0_length,V0_survival,V0_xy_error,V0_yaw_error,V0_terminated,V0_action_abs,V1_return,V1_length,V1_survival,V1_xy_error,V1_yaw_error,V1_terminated,V1_action_abs,V2_return,V2_length,V2_survival,V2_xy_error,V2_yaw_error,V2_terminated,V2_action_abs,V3_return,V3_length,V3_survival,V3_xy_error,V3_yaw_error,V3_terminated,V3_action_abs,checkpoint_path
1,E0D0P2,default,default,obs_noise,70.35007888642,0.7832135668276973,0.4452657004830918,107.09139287614298,0.08782513315478961,142.526639439493,2400.0,1.0,0.03417118638753891,0.02779616415500641,0,0.38783809647584955,124.0324751145381,2170.5,0.904375,0.037173353135585785,0.03227744251489639,2,0.39358961697046957,141.30030070814462,2400.0,1.0,0.039869166910648346,0.03877522051334381,0,0.39323829375207425,55.9414028057462,1068.6376811594203,0.4452657004830918,0.05364697799086571,0.06173323839902878,69,0.40738564912229774,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E0/D0/P2/run/step48828
2,E0D0P3,default,default,action_obs_noise,68.78581902777324,0.7944836182336182,0.3834508547008547,109.85758021336748,0.09186264500021935,142.2351075240161,2400.0,1.0,0.03317608684301376,0.031589195132255554,0,0.39943228298798206,141.3096251157572,2400.0,1.0,0.03843192383646965,0.036764826625585556,0,0.41252178909877935,141.1309802402758,2400.0,1.0,0.03969940170645714,0.04224637523293495,0,0.40625627893954513,47.13213528406945,920.2820512820513,0.3834508547008547,0.05389441177248955,0.06455099582672119,39,0.4233973928168416,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E0/D0/P3/run/step48828
3,E1D1P2,friend_half,friend_half,obs_noise,57.509056998766475,0.5879743444489538,0.368701171875,79.65293402074411,0.08252008880178134,144.79338235759496,2400.0,1.0,0.024873053655028343,0.026246292516589165,0,0.35883403099452454,46.59750740086969,884.8828125,0.368701171875,0.039614707231521606,0.035613447427749634,128,0.37133217447126904,143.52221931830786,2400.0,1.0,0.031760528683662415,0.034861009567976,0,0.3637651711081465,48.839075343054795,948.5324675324675,0.39522186147186145,0.04776348918676376,0.05794708430767059,77,0.37888420052826405,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E1/D1/P2/run/step48828
4,E2D1P0,friend_full,friend_half,none,54.61041233086438,0.6815327380952381,0.11126488095238095,94.82776085083928,0.07516735667983691,145.82226017829822,2400.0,1.0,0.02811187505722046,0.022512191906571388,0,0.3602115258512398,129.74267785064876,2240.0,0.9333333333333333,0.03354092314839363,0.029570206999778748,1,0.36753794183954597,144.8578984030086,2400.0,1.0,0.032629456371068954,0.031335972249507904,0,0.364537427102526,9.88270629886048,267.0357142857143,0.11126488095238095,0.044342830777168274,0.054082680493593216,56,0.3762685113400221,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E2/D1/P0/run/step48828
5,E0D0P0,default,default,none,53.65279055496494,0.6974918300653594,0.09247549019607842,96.61028026959106,0.09170882279674213,142.50087600677216,2400.0,1.0,0.034935034811496735,0.03405457362532616,0,0.37257950166240333,141.78480434150606,2400.0,1.0,0.03742590174078941,0.03738709166646004,0,0.3819593960791826,141.72326083109408,2400.0,1.0,0.03942602872848511,0.04309610649943352,0,0.37923483569175004,6.322775636173045,221.94117647058823,0.09247549019607842,0.05197376757860184,0.06581757217645645,17,0.4009699693446358,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E0/D0/P0/run/step48828
6,E2D0P2,friend_full,default,obs_noise,51.988360654553155,0.6829248366013072,0.04877450980392157,96.34501805899923,0.08687124152978261,144.99464402754165,2400.0,1.0,0.02995811402797699,0.03339460864663124,0,0.3592980841485163,144.1964761730378,2400.0,1.0,0.033433523029088974,0.035804372280836105,0,0.36537788653125364,143.85876949497344,2400.0,1.0,0.0357322096824646,0.04325741156935692,0,0.3637134505560001,0.9798085089864531,117.05882352941177,0.04877450980392157,0.04761885479092598,0.06476735323667526,17,0.37878534459819396,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E2/D0/P2/run/step48828
7,E1D0P2,friend_half,default,obs_noise,51.20125181471175,0.6008657407407407,0.2036388888888889,79.16262929545155,0.09578194841742516,140.99802336824814,2400.0,1.0,0.035022638738155365,0.03220444545149803,0,0.3962926672026515,76.60124868417552,1437.5,0.5989583333333334,0.039276301860809326,0.037515103816986084,4,0.40492111860464014,139.82133424980532,2400.0,1.0,0.04022222012281418,0.044276464730501175,0,0.4012864397962888,21.065304952373843,488.73333333333335,0.2036388888888889,0.054667338728904724,0.07138841599225998,15,0.4213362225020925,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E1/D0/P2/run/step48828
8,E1D1P3,friend_half,friend_half,action_obs_noise,50.99784012358495,0.5339458333333333,0.25702083333333337,72.5192994197801,0.08811277399460475,145.1585948280699,2400.0,1.0,0.030458176508545876,0.02972271665930748,0,0.359461427188168,31.138679478449557,616.85,0.25702083333333337,0.043046269565820694,0.039306867867708206,80,0.3698634265549481,144.27675766383823,2400.0,1.0,0.035873256623744965,0.03741716966032982,0,0.3638376188774904,42.14246111705249,827.56,0.34481666666666666,0.04889052361249924,0.05980423465371132,75,0.3756139179567496,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E1/D1/P3/run/step48828
9,E1D0P0,friend_half,default,none,50.93276371387561,0.6815432098765433,0.04462962962962963,94.18285756235535,0.0942741942902406,143.0150101215113,2400.0,1.0,0.03732053190469742,0.032483652234077454,0,0.38064387990161774,142.01613557845576,2400.0,1.0,0.04040004685521126,0.03611670061945915,0,0.38969326328486203,141.49650235158617,2400.0,1.0,0.04149739816784859,0.04360504448413849,0,0.3886479320128759,-0.9640652429758726,107.11111111111111,0.04462962962962963,0.05339820683002472,0.06780518591403961,9,0.4053442209834854,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E1/D0/P0/run/step48828
10,E0D0P1,default,default,action_noise,50.289441908444175,0.6760925925925926,0.028277777777777777,93.75493215922744,0.09147098412116368,143.2169778315183,2400.0,1.0,0.03618251159787178,0.03282126784324646,0,0.3731192423589528,142.34637778367505,2400.0,1.0,0.03963066637516022,0.035799916833639145,0,0.3849982057822247,142.2878859885011,2400.0,1.0,0.04052577540278435,0.04206085950136185,0,0.38111675923069316,-3.369467294493855,67.86666666666666,0.028277777777777777,0.05284903198480606,0.06354670226573944,15,0.4021272939443588,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E0/D0/P1/run/step48828
